episode,episode_reward,avg_reward,epsilon,sim_seconds,total_departed,avg_departed_per_sec,switch_count,average_queue,average_wait,average_imbalance,cumulative_queue,cumulative_wait,final_total_queue,final_total_wait
156,-10608.90,-35.3630,0.7514,7200,8822,1.2253,201,6.2422,33.4751,5.2553,44944.00,241021.00,10,60
157,-10205.96,-34.0199,0.7498,7200,8637,1.1996,202,6.0074,32.2036,5.0629,43253.00,231866.00,7,41
158,-10065.06,-33.5502,0.7483,7200,8628,1.1983,192,5.9494,31.7615,5.0297,42836.00,228683.00,10,100
159,-10629.15,-35.4305,0.7467,7200,8846,1.2286,186,6.2476,33.5588,5.2526,44983.00,241623.00,10,74
160,-10229.05,-34.0968,0.7451,7200,8595,1.1938,191,6.0132,32.2933,5.0338,43295.00,232512.00,9,57
161,-10455.65,-34.8522,0.7435,7200,8609,1.1957,195,6.1489,32.9888,5.1825,44272.00,237519.00,14,113
162,-10105.04,-33.6835,0.7419,7200,8630,1.1986,194,5.9583,31.8897,5.0369,42900.00,229606.00,14,80
163,-10120.33,-33.7344,0.7403,7200,8588,1.1928,203,5.9647,31.9251,5.0486,42946.00,229861.00,6,32
164,-10001.56,-33.3385,0.7388,7200,8563,1.1893,209,5.9251,31.5343,5.0243,42661.00,227047.00,10,53
165,-10202.70,-34.0090,0.7372,7200,8624,1.1978,205,6.0268,32.1819,5.0779,43393.00,231710.00,9,39
166,-10171.12,-33.9037,0.7356,7200,8634,1.1992,188,5.9868,32.1093,5.0432,43105.00,231187.00,7,42
167,-10214.43,-34.0481,0.7340,7200,8689,1.2068,201,6.0397,32.2233,5.0961,43486.00,232008.00,10,75
168,-10209.77,-34.0326,0.7324,7200,8557,1.1885,196,5.9864,32.2271,5.0322,43102.00,232035.00,14,78
169,-10002.10,-33.3403,0.7308,7200,8591,1.1932,198,5.8779,31.5704,4.9646,42321.00,227307.00,9,66
170,-10620.45,-35.4015,0.7292,7200,8749,1.2151,186,6.2451,33.5271,5.2349,44965.00,241395.00,10,70
171,-10335.87,-34.4529,0.7277,7200,8632,1.1989,197,6.0781,32.6133,5.1319,43762.00,234816.00,10,75
172,-10357.15,-34.5238,0.7261,7200,8673,1.2046,195,6.0879,32.6868,5.1338,43833.00,235345.00,7,52
173,-10279.35,-34.2645,0.7245,7200,8631,1.1987,197,6.0388,32.4389,5.1013,43479.00,233560.00,13,87
174,-10467.60,-34.8920,0.7229,7200,8741,1.2140,184,6.1639,33.0472,5.1750,44380.00,237940.00,14,90
175,-10223.22,-34.0774,0.7213,7200,8684,1.2061,173,6.0507,32.2761,5.1060,43565.00,232388.00,10,70
176,-10572.60,-35.2420,0.7198,7200,8817,1.2246,190,6.2161,33.3767,5.2219,44756.00,240312.00,11,63
177,-10446.50,-34.8217,0.7182,7200,8569,1.1901,193,6.1121,32.9712,5.1504,44007.00,237393.00,11,81
178,-10531.60,-35.1053,0.7166,7200,8680,1.2056,190,6.1842,33.2408,5.2022,44526.00,239334.00,9,45
179,-10157.50,-33.8583,0.7150,7200,8619,1.1971,185,6.0035,32.0639,5.0365,43225.00,230860.00,10,96
180,-10142.27,-33.8076,0.7134,7200,8662,1.2031,186,5.9906,32.0140,5.0547,43132.00,230501.00,9,53
181,-10247.59,-34.1586,0.7118,7200,8679,1.2054,204,6.0412,32.3269,5.1107,43497.00,232754.00,16,114
182,-10009.64,-33.3655,0.7103,7200,8622,1.1975,189,5.9094,31.6014,4.9597,42548.00,227530.00,7,36
183,-10092.65,-33.6422,0.7087,7200,8561,1.1890,214,5.9215,31.8397,4.9932,42635.00,229246.00,13,92
184,-10584.30,-35.2810,0.7071,7200,8720,1.2111,180,6.1840,33.4347,5.1751,44525.00,240730.00,13,78
185,-10444.67,-34.8156,0.7055,7200,8511,1.1821,193,6.1004,32.9722,5.1065,43923.00,237400.00,9,51
186,-9966.92,-33.2231,0.7039,7200,8571,1.1904,192,5.8940,31.4494,4.9901,42437.00,226436.00,10,61
187,-10327.01,-34.4234,0.7023,7200,8686,1.2064,195,6.0556,32.6081,5.0619,43600.00,234778.00,14,130
188,-9992.33,-33.3078,0.7007,7200,8628,1.1983,199,5.9014,31.5301,4.9875,42490.00,227017.00,8,50
189,-10388.60,-34.6287,0.6992,7200,8757,1.2163,184,6.1192,32.7990,5.1497,44058.00,236153.00,8,41
190,-10227.74,-34.0925,0.6976,7200,8705,1.2090,210,6.0622,32.2560,5.0928,43648.00,232243.00,11,69
191,-10302.90,-34.3430,0.6960,7200,8658,1.2025,189,6.0579,32.5235,5.1010,43617.00,234169.00,7,41
192,-10091.93,-33.6398,0.6944,7200,8640,1.2000,200,5.9590,31.8442,5.0190,42905.00,229278.00,9,62
